hp_name,degree
Hypoalbuminemia,121
Spina bifida,121
Abnormality of the liver,120
Abnormality of the cardiovascular system,120
External ear malformation,120
Tricuspid regurgitation,119
Tented upper lip vermilion,119
Dyskinesia,118
Abnormal foot morphology,118
Bowel incontinence,118
Short metatarsal,118
Gingival bleeding,118
Renal agenesis,118
Encephalocele,118
Hallux valgus,117
Stage 5 chronic kidney disease,117
Cerebral palsy,117
Somatic sensory dysfunction,117
Bone-marrow foam cells,117
Elevated circulating creatine kinase concentration,116
Focal impaired awareness seizure,116
Fasciculations,116
Nonprogressive visual loss,116
Anencephaly,115
Hernia,115
Muscular dystrophy,115
Abnormal renal morphology,115
Skeletal muscle hypertrophy,115
Holoprosencephaly,115
Polyphagia,115
Cervix cancer,115
Increased LDL cholesterol concentration,115
Left ventricular hypertrophy,114
Erythema nodosum,114
Decreased liver function,114
Cutis marmorata,114
Tracheomalacia,114
Secondary amenorrhea,114
Prominent veins on trunk,114
Decreased nerve conduction velocity,113
Spina bifida occulta,113
Abnormality of the nose,113
Multifocal epileptiform discharges,113
Gastrointestinal hemorrhage,112
Dysphonia,112
Acute kidney injury,112
Decreased skull ossification,112
Corneal erosion,112
Restlessness,112
Abnormality of the urinary system,112
Late first trimester onset,112
Nail dysplasia,112
Congenital diaphragmatic hernia,111
Aminoaciduria,111
Progressive visual loss,111
Osteomyelitis,111
Ragged-red muscle fibers,111
Progressive microcephaly,111
Hashimoto thyroiditis,111
Abnormality of immune system physiology,110
Abnormal epiphysis morphology,110
Narrow palate,110
Generalized hyperpigmentation,110
Peripheral edema,110
Aplasia/Hypoplasia of the radius,110
Abdominal distention,109
Hypertensive crisis,109
Involuntary movements,109
Calf muscle hypertrophy,109
Bradykinesia,109
Pyloric stenosis,109
Abnormality of the ureter,109
Tessier cleft,109
Metabolic acidosis,109
Recurrent skin infections,109
Venous thrombosis,108
Recurrent upper respiratory tract infections,108
Prolonged neonatal jaundice,108
Coxa vara,108
Abnormality of coagulation,108
Arachnoid cyst,108
Deviation of finger,108
Psychomotor retardation,108
Prominent occiput,107
Asplenia,107
Redundant skin,107
Generalized tonic seizure,107
X-linked dominant inheritance,107
Short palpebral fissure,107
Adrenocortical carcinoma,107
Delayed cranial suture closure,107
Abnormal ulnar epiphysis morphology,107
Calf muscle pseudohypertrophy,107
Abnormality of dental enamel,107
Eczema,107
Acne,106
Abnormal electroretinogram,106
Hypokalemia,106
Metatarsus adductus,106
Sparse eyelashes,106
Decreased glucose-6-phosphate dehydrogenase level in blood,106
Agitation,106
Overfolded helix,106
Convex nasal ridge,106
Large for gestational age,106
Iris hypopigmentation,106
Melanocytic nevus,106
Villous atrophy,106
Chronic kidney disease,105
Hypoplastic toenails,105
Polycystic ovaries,105
Reduced tendon reflexes,105
Status epilepticus,105
Abnormal eyebrow morphology,105
Brain imaging abnormality,105
Cerebral hemorrhage,105
Antinuclear antibody positivity,105
Respiratory insufficiency due to defective ciliary clearance,105
Impaired convergence,105
Epistaxis,104
Hepatic fibrosis,104
Sudden cardiac death,104
Sinusitis,104
Neonatal death,104
Speech apraxia,104
Abnormal antihelix morphology,104
Pathologic fracture,103
Chronic constipation,103
Ophthalmoparesis,103
Abnormality of extrapyramidal motor function,103
Tracheoesophageal fistula,103
Spastic paraparesis,103
Recurrent fever,102
Ectropion,102
Spinal arteriovenous malformation,102
Pharyngitis,102
Lower limb asymmetry,101
Azoospermia,101
Muscle stiffness,101
Increased variability in muscle fiber diameter,101
Abnormal left ventricular function,101
Abnormality of blood and blood-forming tissues,101
Congenital sensorineural hearing impairment,101
Decreased serum leptin,101
Discrete 2 to 5-mm hyper- and hypopigmented macules,101
Renal cyst,100
Hypoplasia of the brainstem,100
Pericarditis,100
Abnormality of the hand,100
Renal hypoplasia,100
High hypermetropia,100
Abnormal thorax morphology,100
Decreased fertility in females,100
Dextrocardia,100
Decreased circulating cortisol level,100
CNS hypomyelination,100
Pancytopenia,99
Chorioretinal coloboma,99
Joint contracture of the hand,99
Ovarian papillary adenocarcinoma,99
Prominent superficial veins,99
Focal T2 hyperintense brainstem lesion,99
Retinal detachment,98
Erythroderma,98
Poor head control,98
Tetraparesis,98
Autoimmune hemolytic anemia,98
Truncal ataxia,98
Gastric ulcer,98
Abnormal clavicle morphology,97
Aplasia/Hypoplasia of the abdominal wall musculature,97
Neonatal onset,97
Self-mutilation,97
Systemic lupus erythematosus,97
External genital hypoplasia,97
Raynaud phenomenon,97
High pitched voice,97
Abnormality of the outer ear,97
Myeloid leukemia,97
Hypermelanotic macule,96
Nephrolithiasis,96
Mutism,96
Abnormal rib morphology,96
Metaphyseal widening,96
Abnormality of prenatal development or birth,96
Abnormality of the temporomandibular joint,96
Decreased fertility,96
Profound global developmental delay,96
Abnormal aortic morphology,96
Mitral valve prolapse,95
Petechiae,95
Ventricular arrhythmia,95
Mild global developmental delay,95
Long palpebral fissure,95
Radioulnar synostosis,95
Hypernasal speech,95
Trigonocephaly,95
Rocker bottom foot,95
Abnormal lung morphology,95
Multiple cafe-au-lait spots,95
Breast carcinoma,95
Severe muscular hypotonia,95
"Gonadal dysgenesis with female appearance, male",95
Thenar muscle atrophy,95
Elevated urinary 4-hydroxybutyric acid,95
Abnormal vertebral morphology,94
Bone pain,94
Unilateral renal agenesis,94
Abnormal dental enamel morphology,94
Abnormal pelvic girdle bone morphology,94
Generalized amyotrophy,94
Cortical dysplasia,94
Abnormal skull morphology,94
Abnormality of the face,94
Abnormality of the metacarpal bones,94
Abnormality of neuronal migration,93
Heart murmur,93
Cone-shaped epiphysis,93
Hemivertebrae,93
Spinocerebellar tract degeneration,93
Ankle clonus,93
Excessive daytime somnolence,93
Basal cell carcinoma,93
Fragile skin,93
Nephrogenic diabetes insipidus,93
Interstitial pneumonitis,93
Oral cleft,93
Nevus,92
Prominent metopic ridge,92
Vascular dilatation,92
Dislocated radial head,92
Oligodontia,92
Contracture of the proximal interphalangeal joint of the 3rd finger,92
Abnormality of the tongue,92
Decreased circulating alpha-fetoprotein concentration,92
Panhypopituitarism,92
Supernumerary vertebral ossification centers,92
Hyperconvex toenail,92
Foot polydactyly,91
Protruding tongue,91
Demyelinating peripheral neuropathy,91
Purpura,91
Limb undergrowth,91
EMG abnormality,91
Elbow flexion contracture,91
Ophthalmoplegia,91
Type 1 muscle fiber predominance,91
Truncal obesity,91
Atherosclerosis,91
Molar tooth sign on MRI,91
Choroid plexus cyst,91
Nail bed hemorrhage,91
Glossoptosis,90
Hearing abnormality,90
Dehydration,90
Hypercalciuria,90
Limb muscle weakness,90
Proximal muscle weakness in lower limbs,90
Abnormally large globe,90
Hypoplasia of the pons,90
Pericardial effusion,90
Autoimmune antibody positivity,90
Short hard palate,90
Abnormality of body height,90
Greater auricular nerve thickening,90
Genu recurvatum,89
Exotropia,89
High anterior hairline,89
Death in early adulthood,89
Paralysis,89
Abnormal pupil morphology,89
Congenital alveolar dysplasia,89
Fibular hypoplasia,89
Abnormal renal physiology,89
Atrophic scars,89
Nasolacrimal duct obstruction,89
Acral lentiginous melanoma,89
Metaphyseal rarefaction,89
Pulmonary embolism,88
Joint swelling,88
Short finger,88
Abnormality of the respiratory system,88
Reduced consciousness,88
Increased circulating antibody level,88
Pulmonary artery stenosis,88
Split foot,88
Episcleritis,88
Sparse and thin eyebrow,88
Obstructive sleep apnea,87
Atopic dermatitis,87
Airway obstruction,87
Patellar dislocation,87
Abnormality of the gastrointestinal tract,87
Hyperventilation,87
Neoplasm of the pancreas,87
Blepharospasm,87
Lateral ventricle dilatation,87
Short femoral neck,87
Neurogenic bladder,87
Lower limb hypertonia,87
Cerebral edema,87
Microscopic hematuria,87
Nodular goiter,87
Preauricular skin tag,86
Tibial bowing,86
Hypoplastic left heart,86
Increased circulating IgA level,86
Sleep apnea,86
Abnormal eyelid morphology,86
Submucous cleft hard palate,86
Recurrent sinusitis,86
Progressive gait ataxia,86
Aplasia/Hypoplasia of the eyebrow,86
Supernumerary nipple,86
Cleft lip,86
Stiff skin,86
Long fingers,86
Opisthotonus,86
Abnormality of vitamin D metabolism,86
Cor triatrium sinister,86
Anophthalmia,85
Keratoconjunctivitis sicca,85
Decreased muscle mass,85
High myopia,85
Glycosuria,85
Abnormality of the spleen,85
Atrial fibrillation,85
Scaling skin,85
Thin ribs,85
Temporal cortical atrophy,85
Abnormality of the pulmonary artery,85
Gray matter heterotopia,85
Enlarged cisterna magna,85
Hypoplasia of the ear cartilage,85
Jaw claudication,85
Increased inflammatory response,84
Mesomelia,84
Stridor,84
Pseudobulbar paralysis,84
Lipodystrophy,84
Myelodysplasia,84
Flat capital femoral epiphysis,84
Decreased serum testosterone concentration,84
Spastic dysarthria,84
Chordee,84
Radial deviation of finger,84
Muscular edema,84
Absent skin pigmentation,84
Osteolysis of patellae,84
Mucopolysacchariduria,83
Weak cry,83
Respiratory insufficiency due to muscle weakness,83
Glossitis,83
Poor fine motor coordination,83
Abnormal dental morphology,83
Prematurely aged appearance,83
Periodic paralysis,83
Hemangioma,83
Hammertoe,83
Short chin,83
Freckling,83
Limb dystonia,83
Accessory spleen,83
Abnormal intestine morphology,83
Premature arteriosclerosis,83
Nasogastric tube feeding in infancy,83
Congenital contracture,83
Short middle phalanx of the 2nd finger,83
Depressed nasal tip,83
Cystic angiomatosis of bone,83
Mandibular pain,83
Morphea,83
Visual field defect,82
Osteolytic defects of the phalanges of the hand,82
Mixed hearing impairment,82
Tinnitus,82
Cholelithiasis,82
Scapular winging,82
Retinal coloboma,82
Xerostomia,82
Arrhinencephaly,82
Decreased circulating IgA level,82
Telangiectasia,82
Atypical scarring of skin,82
Melanoma,82
Colorectal polyposis,82
Joint dislocation,82
Sparse lateral eyebrow,82
Absent scaphoid,82
Urethral stricture,82
Osteolysis of scaphoids,82
Retinal degeneration,81
Glomerulopathy,81
Chronic diarrhea,81
Abnormal metaphysis morphology,81
Fetal ascites,81
Lissencephaly,81
Mediastinal lymphadenopathy,81
Gynecomastia,81
Resting tremor,81
Bilateral ptosis,81
Fava bean-induced hemolytic anemia,81
Limited elbow extension,81
Agammaglobulinemia,81
Abnormal hair pattern,81
Hyperkeratotic papule,81
Basilar invagination,81
Hypoplasia of dental enamel,81
Biparietal narrowing,80
Avascular necrosis,80
Slurred speech,80
Relative macrocephaly,80
Knee flexion contracture,80
Syncope,80
Emphysema,80
Hypoparathyroidism,80
Abnormal retinal vascular morphology,80
Slender long bone,80
Brisk reflexes,80
Abnormal rapid eye movement sleep,80
Ecchymosis,80
Abnormality of the menstrual cycle,80
3-Methylglutaconic aciduria,80
Anteriorly placed anus,80
Short 5th finger,80
Abnormal optic nerve morphology,80
Aplasia cutis congenita,80
Acute myeloid leukemia,80
Supraventricular arrhythmia,80
Hypoplasia of the odontoid process,80
Fused labia minora,80
Enterocolitis,80
Spondyloepiphyseal dysplasia,80
Deviated nasal septum,80
Central hypotonia,80
Overjet,80
Coarse hair,79
Atelectasis,79
Exercise-induced myalgia,79
Hemolytic anemia,79
Male infertility,79
Preauricular pit,79
Hyperthyroidism,79
Central core regions in muscle fibers,79
Anonychia,79
Decreased proportion of CD4-positive helper T cells,79
Abnormal hair morphology,79
Sparse body hair,79
Retinal atrophy,79
Lobar holoprosencephaly,79
Dermal atrophy,79
Ocular pain,79
Anterior pituitary hypoplasia,79
"Abnormal aggressive, impulsive or violent behavior",79
Pilomatrixoma,79
Abnormal circulating enzyme concentration or activity,78
Thoracic kyphosis,78
Prominent supraorbital ridges,78
Ectopic kidney,78
Cutis laxa,78
Pelvic kidney,78
Increased circulating gonadotropin level,78
Personality changes,78
Hyperkalemia,78
Apraxia,78
Vertical supranuclear gaze palsy,78
Hypoxemia,78
Abnormality of the musculature,78
Right aortic arch with mirror image branching,78
Irregular hyperpigmentation,78
Increased serum testosterone level,78
Squamous cell carcinoma,78
Abnormality of the lower limb,78
Arteriovenous fistula,78
Keratoconjunctivitis,78
Primary hypothyroidism,78
Milia,78
Pseudobulbar signs,78
Pica,78
Absent bronchoalveolar surfactant-protein C,78
Fractured radius,78
Abnormal parathyroid morphology,78
Sensory impairment,78
Cardiomegaly,77
Portal hypertension,77
Decreased motor nerve conduction velocity,77
Skin plaque,77
Abnormal nervous system morphology,77
Upper motor neuron dysfunction,77
Polyneuropathy,77
Ectopia lentis,77
"Intellectual disability, progressive",77
Disproportionate short-limb short stature,77
Hemophagocytosis,77
Colitis,77
Ectodermal dysplasia,77
Hypoplasia of the uterus,77
Increased circulating ACTH level,77
Renal salt wasting,77
Widened subarachnoid space,77
Unbalanced atrioventricular canal defect,77
Cerebral hypomyelination,77
Opacification of the corneal stroma,76
Paraparesis,76
Abnormal cerebral vascular morphology,76
Poor appetite,76
Fatigable weakness,76
Uveitis,76
Slow saccadic eye movements,76
Abnormality of the hypothalamus-pituitary axis,76
Generalized hypopigmentation,76
Primary hyperparathyroidism,76
Increased circulating prolactin concentration,76
Large earlobe,76
Astrocytoma,76
Congenital hypothyroidism,76
Increased circulating IgM level,76
Progressive flexion contractures,76
Aplasia/Hypoplasia of the pancreas,76
Somatic mutation,76
Abnormality of the ulna,75
Abnormality of the elbow,75
Lipoatrophy,75
Abnormal hand bone ossification,75
Axial hypotonia,75
Hip contracture,75
Recurrent pharyngitis,75
Multiple renal cysts,75
Hypoplasia of the zygomatic bone,75
Hypomimic face,75
Premature graying of hair,75
Generalized non-motor (absence) seizure,75
Absent thumb,75
Leukemia,75
Abnormal B cell count,75
Osteomalacia,75
B lymphocytopenia,75
Brittle hair,75
Central hypothyroidism,75
Nephroblastoma,75
Furrowed tongue,75
Colpocephaly,75
Myopathic facies,75
Abnormality of chromosome segregation,75
Myofiber disarray,75
Hypoplastic labia minora,75
